ADSCrouchBaseMax,ADSCrouchBaseMin,ADSCrouchBaseSpreadDec,ADSCrouchBaseSpreadInc,ADSCrouchMoveMax,ADSCrouchMoveMin,ADSCrouchMoveSpreadDec,ADSCrouchMoveSpreadInc,ADSProneBaseMax,ADSProneBaseMin,ADSProneBaseSpreadDec,ADSProneBaseSpreadInc,ADSProneMoveMax,ADSProneMoveMin,ADSProneMoveSpreadDec,ADSProneMoveSpreadInc,ADSRecoilDec,ADSRecoilLeft,ADSRecoilRight,ADSRecoilUp,ADSStandBaseMax,ADSStandBaseMin,ADSStandBaseSpreadDec,ADSStandBaseSpreadInc,ADSStandMoveMax,ADSStandMoveMin,ADSStandMoveSpreadDec,ADSStandMoveSpreadInc,AltDeployTime,Ammo,BDrop,BRoF,BridgeDelay,Class,Damages0,Damages1,Damages2,Damages3,Damages4,Damages5,Damages6,Damages7,Damages8,Damages9,DeployTime,Dmg_distances0,Dmg_distances1,Dmg_distances2,Dmg_distances3,Dmg_distances4,Dmg_distances5,Dmg_distances6,Dmg_distances7,Dmg_distances8,Dmg_distances9,Drag,EDmg,FirstShotADSSpreadMul,FirstShotHIPSpreadMul,FirstShotRecoilMul,FirstSingleBulletTime,HIPCrouchBaseMax,HIPCrouchBaseMin,HIPCrouchBaseSpreadDec,HIPCrouchBaseSpreadInc,HIPCrouchMoveMax,HIPCrouchMoveMin,HIPCrouchMoveSpreadDec,HIPCrouchMoveSpreadInc,HIPProneBaseMax,HIPProneBaseMin,HIPProneBaseSpreadDec,HIPProneBaseSpreadInc,HIPProneMoveMax,HIPProneMoveMin,HIPProneMoveSpreadDec,HIPProneMoveSpreadInc,HIPRecoilDec,HIPRecoilLeft,HIPRecoilRight,HIPRecoilUp,HIPStandBaseMax,HIPStandBaseMin,HIPStandBaseSpreadDec,HIPStandBaseSpreadInc,HIPStandMoveMax,HIPStandMoveMin,HIPStandMoveSpreadDec,HIPStandMoveSpreadInc,HorDispersion,InitialSpeed,MagSize,NumBulletsReloaded,PostReloadDelay,ReloadDelay,ReloadEmpty,ReloadLeft,ReloadThrs,RoF,SDmg,ShotsPerBurst,ShotsPerShell,SingleBulletReloadTime,StripClipSize,StripReloadTime,TimeToLive,VerDispersion,WeapShowName
1.2,0.3,2.7,0.045,1.2,0.5,2.7,0.045,1.2,0.3,2.7,0.045,1.2,0.5,2.7,0.045,8,0.32,0.32,0.336,1.2,0.3,2.7,0.045,1.2,0.5,2.7,0.045,2,9x19mm,12,900,N/A,2,23,20.84,20,17.37,16.67,14.89,14.29,13.5,13.5,13.5,0.65,6,11,12,21,22,29,30,37,37,37,0.0025,13.5,6,6,2.4,N/A,2,1,2.7,0.045,2,1,2.7,0.045,2,1,2.7,0.045,2,1,2.7,0.045,8,0.32,0.32,0.336,2,1,2.7,0.045,2.5,1.5,2.7,0.045,0,380,25,25,N/A,N/A,2.8,2.1,0.83,900,23,3,1,N/A,N/A,N/A,1.5,0,Automatico M1918 Storm
1.2,0.3,2.7,0.045,1.2,0.5,2.7,0.045,1.2,0.3,2.7,0.045,1.2,0.5,2.7,0.045,8,0.4,0.4,0.42,1.2,0.3,2.7,0.045,1.2,0.5,2.7,0.045,2,9x19mm,12,900,N/A,2,23,20.84,20,17.37,16.67,14.89,14.29,13.5,13.5,13.5,0.65,6,11,12,21,22,29,30,37,37,37,0.0025,13.5,6,1.00000002,2.4,N/A,2,0.667,2.7,0.045,2,0.667,2.7,0.045,2,0.667,2.7,0.045,2,0.667,2.7,0.045,8,0.4,0.4,0.42,2,0.667,2.7,0.045,2.5,1.0005,2.7,0.045,0,380,25,25,N/A,N/A,2.8,2.1,0.83,900,23,3,1,N/A,N/A,N/A,1.5,0,Automatico M1918 Trench
1.75,0.24,2.125,-0.085,2.5,0.56,2.125,-0.085,1.5,0.24,2.125,-0.085,2.25,0.56,2.125,-0.085,6,0.208,0.208,0.44,2,0.24,2.125,-0.085,2.75,0.56,2.125,-0.085,2,30-06,12,600,N/A,3,26.5,25,23,23,23,23,23,23,23,23,1.1,11,12,35,35,35,35,35,35,35,35,0.002,23,-5,-5,1.7,N/A,3.25,1.75,4.5,-0.18,3.75,2.5,4.5,-0.18,2.75,1.5,4.5,-0.18,3.25,2.25,4.5,-0.18,6,0.208,0.208,0.44,3.75,2,4.5,-0.18,4.25,2.75,4.5,-0.18,0,820,20,20,N/A,N/A,3.2,2.8,0.79,600,26.5,3,1,N/A,N/A,N/A,1.5,0,BAR 1918 Storm
1.75,0.16008,2.525000013,-0.101000001,2.5,0.56,2.125,-0.085,1.5,0.16008,2.525000013,-0.101000001,2.25,0.56,2.125,-0.085,6,0.26,0.26,0.55,2,0.16008,2.525000013,-0.101000001,2.75,0.56,2.125,-0.085,2,30-06,12,600,N/A,3,26.5,25,23,23,23,23,23,23,23,23,1.1,11,12,35,35,35,35,35,35,35,35,0.002,23,-5,-5,1.7,N/A,3.25,1.75,4.5,-0.18,3.75,2.5,4.5,-0.18,2.75,1.5,4.5,-0.18,3.25,2.25,4.5,-0.18,6,0.26,0.26,0.55,3.75,2,4.5,-0.18,4.25,2.75,4.5,-0.18,0,820,20,20,N/A,N/A,3.2,2.8,0.79,600,26.5,3,1,N/A,N/A,N/A,1.5,0,BAR 1918 Telescopic
1.75,0.24,2.125,-0.085,2.5,0.56,2.125,-0.085,1.5,0.24,2.125,-0.085,2.25,0.56,2.125,-0.085,6,0.26,0.26,0.55,2,0.24,2.125,-0.085,2.75,0.56,2.125,-0.085,2,30-06,12,600,N/A,3,26.5,25,23,23,23,23,23,23,23,23,1.1,11,12,35,35,35,35,35,35,35,35,0.002,23,-5,-5,1.7,N/A,3.25,1.16725,4.5,-0.09,3.75,1.6675,4.5,-0.09,2.75,1.0005,4.5,-0.09,3.25,1.50075,4.5,-0.09,6,0.26,0.26,0.55,3.75,1.334,4.5,-0.09,4.25,1.83425,4.5,-0.09,0,820,20,20,N/A,N/A,3.2,2.8,0.79,600,26.5,3,1,N/A,N/A,N/A,1.5,0,BAR 1918 Trench
1.2,0.4,4.5,0.15,1.2,0.4,4.5,0.15,1.2,0.4,4.5,0.15,1.2,0.4,4.5,0.15,5,0.4,0.4,1,1.2,0.4,4.5,0.15,1.2,0.4,4.5,0.15,2,32ACP,12,449,N/A,8,26.5,26.05,25,20.84,20,17.37,16.67,14.89,14.29,13.5,0.5,6,9,10,15,16,21,22,27,28,31.33,0.0025,13.5,1,1,1,N/A,2,0.8,4.5,0.15,2,1.2,4.5,0.15,2,0.8,4.5,0.15,2,1.2,4.5,0.15,5,0.4,0.4,1,2,0.8,4.5,0.15,2,1.2,4.5,0.15,0,320,9,9,N/A,N/A,2,1.5,0.8,449,26.5,3,1,N/A,N/A,N/A,1.5,0,Beretta M1915
1.2,0.27,9,0.3,1.2,0.5,9,0.3,1.2,0.27,9,0.3,1.2,0.5,9,0.3,5,1,1,5,1.2,0.27,9,0.3,1.2,0.5,9,0.3,2,1035_Ordinanza_Italiana,12,224,0.33334,8,53,52.09,50,34.73,33.34,26.05,25,20.84,20,17.5,0.55,10,15,16,21,22,27,28,33,34,38.5,0.0025,17.5,1,1,1,1.33334,2,0.8,9,0.3,2,1.2,9,0.3,2,0.8,9,0.3,2,1.2,9,0.3,5,1,1,5,2,0.8,9,0.3,2,1.2,9,0.3,0,255,6,7,1,0.667,N/A,N/A,N/A,224,53,3,1,1,7,3,1.5,0,Bodeo 1889
1.2,0.3,4.5,0.15,1.2,0.6,4.5,0.15,1.2,0.3,4.5,0.15,1.2,0.6,4.5,0.15,5,0.3,0.3,1.3,1.2,0.3,4.5,0.15,1.2,0.6,4.5,0.15,2,Borchardt765x25mm_Pistol,12,359,N/A,8,26.5,26.05,25,20.84,20,17.37,16.67,14.89,14.29,13.5,0.5,14.69,15,16,21,22,27,28,33,34,37.33,0.0025,13.5,1,1,1,N/A,2,0.8,4.5,0.15,2,1.2,4.5,0.15,2,0.8,4.5,0.15,2,1.2,4.5,0.15,5,0.3,0.3,1.3,2,0.8,4.5,0.15,2,1.2,4.5,0.15,0,390,9,9,N/A,N/A,2.05,1.35,0.8,359,26.5,3,1,N/A,N/A,N/A,1.5,0,Borchard C93
1.2,0.4,9,0.3,1.2,0.5,9,0.3,1.2,0.4,9,0.3,1.2,0.5,9,0.3,5,0.8,0.8,4,1.2,0.4,9,0.3,1.2,0.5,9,0.3,2,442Webley,12,257,0.2333,8,53,52.09,50,34.73,33.34,26.05,25,20.84,20,17.37,0.4,6,9,10,15,16,21,22,27,28,33,0.0025,13.5,1,1,1,1.4,2,0.8,9,0.3,2,1.2,9,0.3,2,0.8,9,0.3,2,1.2,9,0.3,5,0.8,0.8,4,2,0.8,9,0.3,2,1.2,9,0.3,0,215,6,7,1.1,1,N/A,N/A,N/A,257,53,3,1,1.1667,7,6,1.5,0,Bulldog
1.2,0.27,5,0.15,1.2,0.53,5,0.15,1.2,0.27,5,0.15,1.2,0.53,5,0.15,4,0.12,0.12,0.35,1.2,0.27,5,0.15,1.2,0.53,5,0.15,2,Borchardt765x25mm_Pistol,12,359,N/A,5,26.5,26.05,25,20.84,20,17.37,16.67,14.89,14.29,13.5,0.55,14.69,15,16,21,22,27,28,33,34,37.33,0.0025,13.5,1,1,1,N/A,3,1,5,0.15,3,1.5,5,0.15,3,1,5,0.15,3,1.5,5,0.15,4,0.12,0.12,0.35,3,1.5,5,0.15,3,2,5,0.15,0,390,9,9,N/A,N/A,2.05,1.35,0.8,359,26.5,3,1,N/A,N/A,N/A,1.5,0,C93 Carbine
1.2,0.24,4.5,0.15,1.2,0.56,4.5,0.15,1.2,0.24,4.5,0.15,1.2,0.56,4.5,0.15,5,0.3,0.3,1.2,1.2,0.24,4.5,0.15,1.2,0.56,4.5,0.15,2,Mauser763x25mm,12,299,0.1,5,28,26.05,25,20.84,20,17.37,16.67,15,15,15,0.7,17.46,21,22,27,28,33,34,38.76,38.76,38.76,0.0025,15,1,1,1,0.6,3,1,4.5,0.15,3,1.5,4.5,0.15,3,1,4.5,0.15,3,1.5,4.5,0.15,5,0.3,0.3,1.2,3,1.5,4.5,0.15,3,2,4.5,0.15,0,460,20,10,0.75,0.6,N/A,N/A,N/A,299,28,3,1,0.5,10,1.3666667,1.5,0,C96 Carbine
1.2,0.21,2.1,0.07,1.2,0.79,2.1,0.07,1.2,0.21,2.1,0.07,1.2,0.79,2.1,0.07,5,0.12,0.12,0.36,1.2,0.21,2.1,0.07,1.2,0.79,2.1,0.07,2,9x19mm,12,359,N/A,2,34.73,33.34,26.5,25,20.84,20,17.37,16.67,15,15,0.7,11,12,17,18,24,25,31,32,33,33,0.0025,15,1,1,1,N/A,2,0.667,2.1,0.07,2,0.667,2.1,0.07,2,0.667,2.1,0.07,2,0.667,2.1,0.07,5,0.12,0.12,0.36,2,0.667,2.1,0.07,2.5,1.0005,2.1,0.07,0,460,41,41,N/A,N/A,3.5,2.1,0.85,359,34.73,3,1,N/A,N/A,N/A,1.5,0,C96 Trench
2,0,10.05,0,3,1,10.05,0,2,0,10.05,0,3,1,10.05,0,3,1,1,2,2,0,10.05,0,3,1,10.05,0,0,Carcano65x52mm,12,73,N/A,4,85,54,54,54,54,54,54,54,54,54,0.9,19,115,115,115,115,115,115,115,115,115,0.0025,54,1,1,1,N/A,3,1.334,10.05,1,4.5,2.3345,10.05,1,2.5,1.0005,10.05,1,4,2.001,10.05,1,3,1,1,5,3.5,1.6675,10.05,1,5,2.668,10.05,1,0,700,6,N/A,N/A,N/A,N/A,N/A,N/A,73,85,3,1,N/A,6,N/A,3,0,Carcano M91
2,0,6.7,0,3,0.5,6.7,0,2,0,6.7,0,3,0.5,6.7,0,3,1,1,2,2,0,6.7,0,3,0.5,6.7,0,0,Carcano65x52mm,12,73,N/A,4,85,54,54,54,54,54,54,54,54,54,0.9,19,115,115,115,115,115,115,115,115,115,0.0025,54,1,1,1,N/A,3,1.334,6.7,1,4.5,2.3345,6.7,1,2.5,1.0005,6.7,1,4,2.001,6.7,1,3,1,1,5,3.5,1.6675,6.7,1,5,2.668,6.7,1,0,700,6,N/A,N/A,N/A,N/A,N/A,N/A,73,85,3,1,N/A,6,N/A,3,0,Carcano M91 Patrol Carbine
1.2,0.18,6,0.1,1.2,0.82,6,0.1,1.2,0.18,6,0.1,1.2,0.82,6,0.1,5.25,0.4,0.4,0.8,1.2,0.18,6,0.1,1.2,0.82,6,0.1,0.9,Carcano65x52mm,12,299,0.2,1,38,34.73,33.34,28,28,28,28,28,28,28,0.7,50,53,54,62,62,62,62,62,62,62,0.0025,28,1,1,1,0.7,2.5,1.5,6,0.1,3,2,6,0.1,2,1,6,0.1,2.5,1.5,6,0.1,5.25,0.4,0.4,0.8,3,2,6,0.1,3.5,2.5,6,0.1,0,700,10,5,0.6,1.1666666,N/A,N/A,N/A,299,38,3,1,0.5,5,1.5,3,0,Cei-Rigotti Factory
1.2,0.135,3.75,0.0625,1.2,0.615,3,0.0625,1.2,0.135,3.75,0.0625,1.2,0.615,3,0.0625,3,0.4,0.4,0.8,1.2,0.135,3.75,0.0625,1.2,0.615,3,0.0625,0.9,Carcano65x52mm,12,299,0.2,1,38,34.73,33.34,28,28,28,28,28,28,28,0.7,50,53,54,62,62,62,62,62,62,62,0.0025,28,1,1,1,0.7,2.5,1.5,3,0.1,3,2,3,0.1,2,1,3,0.1,2.5,1.5,3,0.1,3,0.4,0.4,0.8,3,2,3,0.1,3.5,2.5,3,0.1,0,700,10,5,0.6,1.1666666,N/A,N/A,N/A,299,38,3,1,0.5,5,1.5,3,0,Cei-Rigotti Optical
1.2,0.18,3,0.1,1.2,0.82,3,0.1,1.2,0.18,3,0.1,1.2,0.82,3,0.1,3,0.4,0.4,0.8,1.2,0.18,3,0.1,1.2,0.82,3,0.1,0.9,Carcano65x52mm,12,299,0.2,1,38,34.73,33.34,28,28,28,28,28,28,28,0.7,50,53,54,62,62,62,62,62,62,62,0.0025,28,1,1,1,0.7,2.5,0.75,3,0.05,3,1.2,3,0.05,2,0.5,3,0.05,2.5,0.9,3,0.05,3,0.4,0.4,0.8,3,1,3,0.05,3.5,1.5,3,0.05,0,700,10,5,0.6,1.1666666,N/A,N/A,N/A,299,38,3,1,0.5,5,1.5,3,0,Cei-Rigotti Trench
1.75,0.24,12.75,-0.10625,2.5,0.56,12.75,-0.10625,1.5,0.24,12.75,-0.10625,2.25,0.56,12.75,-0.10625,10.002,0.22,0.22,0.55,2,0.24,12.75,-0.10625,2.75,0.56,12.75,-0.10625,2,8mm,12,359,N/A,3,38,34.73,33.34,28,28,28,28,28,28,28,1.1,18,19,20,35,35,35,35,35,35,35,0.0025,28,-4,-4,1.2,N/A,3.25,1.75,27,-0.225,3.75,2.5,27,-0.225,2.75,1.5,27,-0.225,3.25,2.25,27,-0.225,10.002,0.22,0.22,0.55,3.75,2,27,-0.225,4.25,2.75,27,-0.225,0,720,20,20,N/A,N/A,3.55,2.9,0.83,359,38,3,1,N/A,N/A,N/A,1.5,0,Chauchat Low Weight
1.75,0.16008,5.050000025,-0.101000001,2.5,0.56,4.25,-0.085,1.5,0.16008,5.050000025,-0.101000001,2.25,0.56,4.25,-0.085,6,0.22,0.22,0.55,2,0.16008,5.050000025,-0.101000001,2.75,0.56,4.25,-0.085,2,8mm,12,359,N/A,3,38,34.73,33.34,28,28,28,28,28,28,28,1.1,18,19,20,35,35,35,35,35,35,35,0.0025,28,-5,-5,1.2,N/A,3.25,1.75,9,-0.18,3.75,2.5,9,-0.18,2.75,1.5,9,-0.18,3.25,2.25,9,-0.18,6,0.22,0.22,0.55,3.75,2,9,-0.18,4.25,2.75,9,-0.18,0,720,20,20,N/A,N/A,3.55,2.9,0.83,359,38,3,1,N/A,N/A,N/A,1.5,0,Chauchat Telescopic
1.2,0.36,4.5,0.15,1.2,0.44,4.5,0.15,1.2,0.36,4.5,0.15,1.2,0.44,4.5,0.15,4,0.15,0.15,1,1.2,0.36,4.5,0.15,1.2,0.44,4.5,0.15,2,9x20mm_Browning_Long,12,359,N/A,5,30,26.05,25,20.84,20,17.37,16.67,14.89,14.29,13.5,0.55,12.29,15,16,21,22,27,28,33,34,37.33,0.0025,13.5,1,1,1,N/A,3,1,4.5,0.15,3,1.5,4.5,0.15,3,1,4.5,0.15,3,1.5,4.5,0.15,4,0.15,0.15,1,3,1.5,4.5,0.15,3,2,4.5,0.15,0,350,11,11,N/A,N/A,2.8,2.05,0.8,359,30,3,1,N/A,N/A,N/A,1.5,0,FN1903 Extended
1.2,0.1125,3.75,0.0625,1.2,0.7875,3,0.0625,1.2,0.1125,3.75,0.0625,1.2,0.7875,3,0.0625,3,0.3,0.3,0.9,1.2,0.1125,3.75,0.0625,1.2,0.7875,3,0.0625,0.9,British303,12,257,N/A,1,42,34.73,33.34,30,30,30,30,30,30,30,0.7,46.33,53,54,59,59,59,59,59,59,59,0.0025,30,1,1,1,N/A,3,2,3,0.1,3.5,2.5,3,0.1,2.5,1.5,3,0.1,3,2,3,0.1,3,0.3,0.3,0.9,3.5,2.5,3,0.1,4,3,3,0.1,0,740,20,20,N/A,N/A,3.2,3,0.75,257,42,3,1,N/A,N/A,N/A,5,0,Farquhar-Hill Optical
1.2,0.15,3,0.1,1.2,1.05,3,0.1,1.2,0.15,3,0.1,1.2,1.05,3,0.1,3,0.18,0.18,0.54,1.2,0.15,3,0.1,1.2,1.05,3,0.1,0.9,British303,12,257,N/A,1,42,34.73,33.34,30,30,30,30,30,30,30,0.7,46.33,53,54,59,59,59,59,59,59,59,0.0025,30,1,1,1,N/A,3,2,3,0.1,3.5,2.5,3,0.1,2.5,1.5,3,0.1,3,2,3,0.1,3,0.18,0.18,0.54,3.5,2.5,3,0.1,4,3,3,0.1,0,740,20,20,N/A,N/A,3.2,3,0.75,257,42,3,1,N/A,N/A,N/A,5,0,Farquhar-Hill Storm
1.2,0.135,3.75,0.0625,1.2,0.615,3,0.0625,1.2,0.135,3.75,0.0625,1.2,0.615,3,0.0625,4,0.2,0.2,0.45,1.2,0.135,3.75,0.0625,1.2,0.615,3,0.0625,0.9,65_Arisaka,12,449,N/A,1,28,26.042,25,20.84,20,19,19,19,19,19,0.7,28,29,30,37,38,40,40,40,40,40,0.002,19,1,1,1,N/A,2.5,1.5,3,0.1,3,2,3,0.1,2,1,3,0.1,2.5,1.5,3,0.1,4,0.2,0.2,0.45,3,2,3,0.1,3.5,2.5,3,0.1,0,570,26,26,N/A,N/A,3.8,2.7,0.75,449,28,3,1,N/A,N/A,N/A,5,0,Fedorov Avtomat Optical
